Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
h;newton_raphson.hpp;36;7.3502044677734375;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;7.958336591720581;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;5.094738960266113;1-8;Random bit-flip
x0;newton_raphson_dup.cpp;30;8.506213903427124;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;6.758874416351318;1-8;Random bit-flip
df_x_too_small;newton_raphson.hpp;53;5.625020265579224;1-8;Random bit-flip
h;newton_raphson.hpp;36;5.598586082458496;1-8;Random bit-flip
f_x;newton_raphson.hpp;51;6.407111167907715;1-8;Random bit-flip
x;newton_raphson.hpp;35;5.854450702667236;1-8;Random bit-flip
x;newton_raphson.hpp;35;5.244225978851318;1-8;Random bit-flip
x0;newton_raphson_dup.cpp;30;6.043920993804932;1-8;Random bit-flip
x;newton_raphson_dup.cpp;13;5.872594356536865;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;6.05504846572876;1-8;Random bit-flip
h;newton_raphson.hpp;36;6.954713344573975;1-8;Random bit-flip
eps;newton_raphson.hpp;46;6.967096567153931;1-8;Random bit-flip
x0;newton_raphson_dup.cpp;30;6.552500009536743;1-8;Random bit-flip
x;newton_raphson.hpp;35;4.995075225830078;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;7.7857983112335205;1-8;Random bit-flip
df_x_too_small;newton_raphson.hpp;53;7.2762370109558105;1-8;Random bit-flip
x;newton_raphson.hpp;50;7.7636072635650635;1-8;Random bit-flip
currIter;newton_raphson.hpp;55;5.42568302154541;1-8;Random bit-flip
x0;newton_raphson_dup.cpp;30;3.265334367752075;1-8;Random bit-flip
x0;newton_raphson_dup.cpp;30;1.9752984046936035;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;5.151912450790405;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;6.300025939941406;1-8;Random bit-flip
h;newton_raphson.hpp;36;5.996041536331177;1-8;Random bit-flip
x0;newton_raphson_dup.cpp;30;5.172141790390015;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;8.655319452285767;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;8.5594162940979;1-8;Random bit-flip
h;newton_raphson.hpp;36;5.864792108535767;1-8;Random bit-flip
h;newton_raphson.hpp;36;5.819153308868408;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;1.8034753799438477;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;6.520907163619995;1-8;Random bit-flip
x0;newton_raphson_dup.cpp;30;4.970101594924927;1-8;Random bit-flip
found_root;newton_raphson.hpp;54;7.991581678390503;1-8;Random bit-flip
x;newton_raphson.hpp;50;5.891213417053223;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;5.055753231048584;1-8;Random bit-flip
h;newton_raphson.hpp;47;6.834183216094971;1-8;Random bit-flip
x0;newton_raphson_dup.cpp;30;1.471376657485962;1-8;Random bit-flip
eps;newton_raphson.hpp;46;5.090569019317627;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;6.794326066970825;1-8;Random bit-flip
x0;newton_raphson_dup.cpp;30;7.671344757080078;1-8;Random bit-flip
h;newton_raphson.hpp;36;6.782294750213623;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;4.611529588699341;1-8;Random bit-flip
h;newton_raphson.hpp;47;5.449321746826172;1-8;Random bit-flip
x0;newton_raphson_dup.cpp;30;5.3445751667022705;1-8;Random bit-flip
x0;newton_raphson_dup.cpp;30;4.730569124221802;1-8;Random bit-flip
h;newton_raphson.hpp;36;6.162702798843384;1-8;Random bit-flip
df_x_too_small;newton_raphson.hpp;53;5.454735517501831;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;6.031351804733276;1-8;Random bit-flip
currIter;newton_raphson.hpp;55;5.895845890045166;1-8;Random bit-flip
x0;newton_raphson_dup.cpp;30;2.6503536701202393;1-8;Random bit-flip
x0;newton_raphson_dup.cpp;30;1.8946452140808105;1-8;Random bit-flip
eps;newton_raphson.hpp;46;5.8279128074646;1-8;Random bit-flip
x0;newton_raphson_dup.cpp;30;4.6458094120025635;1-8;Random bit-flip
x;newton_raphson.hpp;50;5.871874809265137;1-8;Random bit-flip
h;newton_raphson.hpp;36;6.565220355987549;1-8;Random bit-flip
x0;newton_raphson_dup.cpp;30;2.4886207580566406;1-8;Random bit-flip
currIter;newton_raphson.hpp;55;4.853853464126587;1-8;Random bit-flip
x0;newton_raphson_dup.cpp;30;5.83625864982605;1-8;Random bit-flip
found_root;newton_raphson.hpp;54;6.0998218059539795;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;5.731220245361328;1-8;Random bit-flip
found_root;newton_raphson.hpp;54;5.134579181671143;1-8;Random bit-flip
x;newton_raphson.hpp;50;6.4850077629089355;1-8;Random bit-flip
x;newton_raphson.hpp;35;7.657581806182861;1-8;Random bit-flip
x0;newton_raphson_dup.cpp;30;4.691426038742065;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;3.4148848056793213;1-8;Random bit-flip
h;newton_raphson.hpp;36;5.193501234054565;1-8;Random bit-flip
x0;newton_raphson_dup.cpp;30;6.982006788253784;1-8;Random bit-flip
df_x_too_small;newton_raphson.hpp;53;5.68159818649292;1-8;Random bit-flip
currIter;newton_raphson.hpp;55;6.551721572875977;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;7.425352334976196;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;7.767117261886597;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;7.966936826705933;1-8;Random bit-flip
x;newton_raphson.hpp;50;7.054394721984863;1-8;Random bit-flip
f_x;newton_raphson.hpp;51;5.9347662925720215;1-8;Random bit-flip
h;newton_raphson.hpp;36;5.296973705291748;1-8;Random bit-flip
h;newton_raphson.hpp;36;6.0004870891571045;1-8;Random bit-flip
x0;newton_raphson_dup.cpp;30;2.741708517074585;1-8;Random bit-flip
x;newton_raphson_dup.cpp;13;7.488111734390259;1-8;Random bit-flip
x0;newton_raphson_dup.cpp;30;1.4333171844482422;1-8;Random bit-flip
h;newton_raphson.hpp;36;5.633862495422363;1-8;Random bit-flip
x0;newton_raphson_dup.cpp;30;3.6461400985717773;1-8;Random bit-flip
x0;newton_raphson_dup.cpp;30;1.5075855255126953;1-8;Random bit-flip
delta;newton_raphson.hpp;46;5.551366090774536;1-8;Random bit-flip
df_x_too_small;newton_raphson.hpp;53;5.31677508354187;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;6.2721052169799805;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;2.484433174133301;1-8;Random bit-flip
x0;newton_raphson_dup.cpp;30;4.26936674118042;1-8;Random bit-flip
delta;newton_raphson.hpp;46;5.491448879241943;1-8;Random bit-flip
x;newton_raphson.hpp;35;5.346379041671753;1-8;Random bit-flip
h;newton_raphson.hpp;36;7.481582880020142;1-8;Random bit-flip
f_x;newton_raphson.hpp;51;6.314792156219482;1-8;Random bit-flip
found_root;newton_raphson.hpp;54;6.166804313659668;1-8;Random bit-flip
currIter;newton_raphson.hpp;55;6.201993942260742;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;3.180671215057373;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;5.583754539489746;1-8;Random bit-flip
x;newton_raphson_dup.cpp;13;7.033849716186523;1-8;Random bit-flip
df_x;newton_raphson.hpp;58;6.602765083312988;1-8;Random bit-flip
h;newton_raphson.hpp;36;4.706653594970703;1-8;Random bit-flip
h;newton_raphson.hpp;47;6.432145357131958;1-8;Random bit-flip
x0;newton_raphson_dup.cpp;30;3.919408082962036;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;7.38414192199707;1-8;Random bit-flip
h;newton_raphson.hpp;47;7.818867921829224;1-8;Random bit-flip
x;newton_raphson.hpp;35;5.557090520858765;1-8;Random bit-flip
df_x_too_small;newton_raphson.hpp;53;6.3489990234375;1-8;Random bit-flip
currIter;newton_raphson.hpp;55;6.745484352111816;1-8;Random bit-flip
x0;newton_raphson_dup.cpp;30;6.345455884933472;1-8;Random bit-flip
found_root;newton_raphson.hpp;54;5.246444463729858;1-8;Random bit-flip
x;newton_raphson.hpp;50;6.436851739883423;1-8;Random bit-flip
eps;newton_raphson.hpp;46;6.188123941421509;1-8;Random bit-flip
x0;newton_raphson_dup.cpp;30;1.6525373458862305;1-8;Random bit-flip
currIter;newton_raphson.hpp;55;6.658404350280762;1-8;Random bit-flip
x;newton_raphson.hpp;50;5.878841876983643;1-8;Random bit-flip
eps;newton_raphson.hpp;46;5.78216290473938;1-8;Random bit-flip
x0;newton_raphson_dup.cpp;30;1.501734733581543;1-8;Random bit-flip
delta;newton_raphson.hpp;46;6.730887413024902;1-8;Random bit-flip
x;newton_raphson.hpp;50;5.332597732543945;1-8;Random bit-flip
found_root;newton_raphson.hpp;54;5.776592969894409;1-8;Random bit-flip
found_root;newton_raphson.hpp;54;6.435395956039429;1-8;Random bit-flip
f_x;newton_raphson.hpp;51;7.7070090770721436;1-8;Random bit-flip
currIter;newton_raphson.hpp;55;6.943213224411011;1-8;Random bit-flip
x0;newton_raphson_dup.cpp;30;4.926704406738281;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;6.465921640396118;1-8;Random bit-flip
x;newton_raphson.hpp;35;5.656789541244507;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;3.056330442428589;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;1.8893439769744873;1-8;Random bit-flip
h;newton_raphson.hpp;36;6.725157022476196;1-8;Random bit-flip
x;newton_raphson.hpp;35;6.268990516662598;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;3.2583632469177246;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;6.5933191776275635;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;6.438323497772217;1-8;Random bit-flip
x0;newton_raphson_dup.cpp;30;2.656292200088501;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;2.7253594398498535;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;5.946049213409424;1-8;Random bit-flip
x;newton_raphson.hpp;35;6.84548544883728;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;2.1035866737365723;1-8;Random bit-flip
df_x_too_small;newton_raphson.hpp;53;6.042374849319458;1-8;Random bit-flip
h;newton_raphson.hpp;47;6.5755462646484375;1-8;Random bit-flip
